Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
383.0385,0.1219,2.2692,0.022,22
463.8211,0.1201,2.2764,0.0187,20
306.2929,0.1406,2.3636,0.0241,16
390.3818,0.126,2.2364,0.0205,17
483.1885,0.1147,2.2131,0.0183,22
333.0319,0.1275,2.3191,0.0249,22
519.3955,0.1173,2.2687,0.0171,21
391.1897,0.1312,2.2931,0.0199,17
388.6393,0.138,2.377,0.0196,16
378.976,0.1445,2.448,0.0197,16
422.2366,0.1374,2.3969,0.0184,16
264.2841,0.1445,2.2955,0.0264,15
300.5714,0.1332,2.2418,0.0249,16
337.9592,0.1284,2.2449,0.0231,17
194.7,0.1538,2.2857,0.0331,14
256.6353,0.1434,2.3059,0.0275,15
310.5408,0.1379,2.2857,0.0236,15
245.6386,0.1468,2.2892,0.0279,14
175.9048,0.154,2.2857,0.0369,15
319.85,0.1386,2.32,0.0234,19
392.4513,0.1279,2.2655,0.0202,18
284.6374,0.1397,2.3077,0.0256,15
346.1683,0.1295,2.2772,0.0228,16
310.8242,0.1289,2.2418,0.0249,16
405.1092,0.1296,2.3361,0.0198,17
465.3478,0.1312,2.3333,0.017,17
351.6818,0.1372,2.3636,0.0217,16
406.0331,0.1324,2.3471,0.0196,17
448.3465,0.1268,2.315,0.0184,19
560.097,0.1104,2.2388,0.0168,22
410.2936,0.1202,2.2569,0.0209,22
316.0211,0.1338,2.3158,0.0246,19
433.6838,0.1215,2.2735,0.0196,20
437.2734,0.1303,2.3438,0.0185,19
419.1102,0.1259,2.322,0.0198,18
333.7573,0.1359,2.3301,0.0228,18
448.6075,0.1104,2.2243,0.021,24
338.6486,0.1432,2.3423,0.0213,14
454.8176,0.1426,2.4595,0.0167,14
427.1985,0.136,2.4122,0.0186,17
333.802,0.1326,2.297,0.023,16
361.875,0.1274,2.2308,0.0217,17
317.1262,0.1406,2.3107,0.0227,15
226.575,0.1519,2.325,0.0294,14
273.8681,0.1443,2.3516,0.0261,14
251.686,0.148,2.3256,0.0274,15
145.2727,0.1611,2.2909,0.0424,15
240.519,0.1434,2.3038,0.0295,17
374.2641,0.1278,2.3019,0.0219,20
273.2159,0.1414,2.3182,0.0266,17
345.7364,0.1402,2.3273,0.0214,17
352.3077,0.1308,2.3462,0.0228,18
283.4598,0.135,2.2529,0.0262,17
515.5211,0.1235,2.3099,0.0164,19
481.5149,0.1243,2.2836,0.0172,18
