Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
25.5333,0.4729,5.2889,0.1202,4
21.9545,0.5038,6.5,0.1512,3
27.2766,0.4683,7.1064,0.1545,4
23.641,0.4572,3.8974,0.1026,5
24.3864,0.4817,4.9091,0.1142,5
22.4375,0.5197,6.9167,0.1472,3
25.875,0.4894,8.5417,0.1817,5
26.625,0.4809,9.0,0.1915,4
27.9167,0.4736,10.5417,0.2243,5
27.7917,0.472,10.5,0.2234,5
26.9388,0.4841,9.6735,0.2015,4
29.25,0.4591,6.375,0.1356,5
24.6667,0.4842,7.2889,0.1657,4
26.5556,0.4629,5.4667,0.1242,4
19.9762,0.5149,7.0476,0.1719,3
21.9545,0.5049,8.8182,0.2051,4
24.0833,0.505,11.4583,0.2438,4
23.9583,0.5069,10.75,0.2287,4
23.3404,0.5042,6.5957,0.1434,3
22.2553,0.516,6.6809,0.1452,3
24.9583,0.5012,11.0417,0.2349,5
22.6956,0.512,11.4783,0.2551,4
26.1458,0.4878,10.875,0.2314,5
25.3125,0.495,10.9583,0.2332,5
28.5106,0.4588,5.7447,0.1249,5
25.9767,0.4589,4.6047,0.1096,5
22.2326,0.4963,6.5116,0.155,4
21.8182,0.507,8.0909,0.1882,4
21.0488,0.4969,4.3902,0.1098,4
20.2619,0.5106,5.4286,0.1324,3
23.0,0.5147,8.125,0.1729,3
25.375,0.4932,8.7917,0.1871,5
25.617,0.4859,9.5745,0.2081,4
24.9574,0.4934,10.4255,0.2266,4
24.0435,0.4957,10.4348,0.2319,4
23.1304,0.5034,8.913,0.1981,4
25.3696,0.4813,6.6087,0.1469,4
26.4783,0.4712,6.1304,0.1362,5
22.3095,0.4885,5.5238,0.1347,4
19.878,0.5093,7.0732,0.1768,3
19.7619,0.5198,10.0,0.2439,4
25.4082,0.4995,11.6735,0.2432,5
25.0,0.4796,8.0889,0.1838,4
22.9111,0.4998,6.4444,0.1465,4
24.1875,0.502,5.3333,0.1135,4
25.9184,0.4946,10.0408,0.2092,4
23.4792,0.5129,11.25,0.2394,4
26.74,0.4917,11.12,0.2269,4
26.44,0.4908,6.84,0.1396,4
24.6087,0.4884,6.8696,0.1527,4
28.3261,0.4555,4.5652,0.1014,5
17.8974,0.5252,7.2821,0.1916,3
22.5435,0.5107,10.2609,0.228,4
21.6042,0.5327,12.9167,0.2748,4
22.9792,0.5175,11.4167,0.2429,4
20.5349,0.5144,5.6279,0.134,4
21.1702,0.5308,9.1064,0.198,4
23.0208,0.5157,9.9583,0.2119,4
23.3478,0.5024,10.0435,0.2232,4
21.9783,0.5176,10.3478,0.23,4
25.5745,0.4864,9.1064,0.198,5
24.0,0.4901,8.2222,0.1869,4
24.2889,0.4861,6.0889,0.1384,4
25.9362,0.4795,5.5745,0.1212,4
21.881,0.4939,5.7143,0.1394,4
22.0,0.488,6.1463,0.1537,4
23.4583,0.5127,11.4167,0.2429,4
25.18,0.5038,11.28,0.2302,4
26.5106,0.4752,7.2766,0.1582,4
28.3878,0.4683,5.4694,0.1139,4
18.4103,0.5168,4.7692,0.1255,3
23.6304,0.4993,7.2174,0.1604,4
23.7083,0.5078,9.7917,0.2083,4
23.2041,0.5197,11.3469,0.2364,4
24.3878,0.5051,7.9184,0.165,4
26.3469,0.4881,7.551,0.1573,4
23.7234,0.5021,6.0851,0.1323,4
20.3571,0.512,7.1429,0.1742,3
21.7708,0.5297,11.75,0.25,4
22.2245,0.5292,12.4082,0.2585,4
21.5,0.5334,12.9167,0.2748,4
22.4583,0.5271,13.25,0.2819,4
20.0,0.5364,12.1333,0.2758,4
20.6364,0.5258,12.0,0.2791,4
20.25,0.525,7.0,0.1628,4
23.04,0.5239,8.84,0.1804,4
22.5714,0.5252,10.898,0.227,4
23.413,0.5019,9.4783,0.2106,4
22.7391,0.5109,11.1739,0.2483,4
19.6364,0.533,10.9545,0.2548,4
24.4255,0.495,7.3617,0.16,4
24.1739,0.4927,6.0,0.1333,4
21.7,0.4831,5.2,0.1333,4
21.8293,0.4897,5.122,0.128,4
22.6977,0.4899,5.5349,0.1318,4
25.5714,0.4951,10.7347,0.2236,4
21.8667,0.5125,10.1333,0.2303,4
28.5918,0.4669,6.9388,0.1446,4
26.9318,0.457,4.7273,0.1099,4
17.7568,0.5124,4.3243,0.1201,3
24.4286,0.5059,7.7551,0.1616,4
23.5833,0.5101,10.625,0.2261,4
23.2083,0.5155,11.7083,0.2491,4
24.0833,0.5034,7.1667,0.1525,4
23.0851,0.5078,6.9787,0.1517,3
24.9778,0.4787,5.2,0.1182,4
20.5814,0.5152,6.3721,0.1517,3
23.7083,0.5098,10.625,0.2261,4
23.5,0.5221,12.48,0.2547,4
22.9184,0.5234,12.8163,0.267,4
21.413,0.5255,12.6087,0.2802,4
19.0698,0.5371,11.9535,0.2846,4
18.0,0.5475,12.619,0.3078,4
18.8864,0.5403,6.9545,0.1617,3
21.22,0.5413,7.84,0.16,3
23.6735,0.5129,8.8163,0.1837,4
23.12,0.5236,10.0,0.2041,3
23.0,0.5157,10.875,0.2314,4
20.2445,0.5314,10.7111,0.2434,4
27.1633,0.4795,6.9796,0.1454,4
27.4898,0.4765,5.3469,0.1114,4
18.1892,0.5066,5.1892,0.1441,3
22.0488,0.4869,5.2683,0.1317,4
26.0425,0.4819,9.5745,0.2081,5
25.7083,0.4898,11.0,0.234,5
21.1333,0.5213,10.3111,0.2343,4
24.8511,0.4903,7.4894,0.1628,4
18.1143,0.4927,4.3429,0.1277,3
18.0556,0.5022,4.1667,0.119,4
22.5102,0.5231,6.5306,0.1361,3
26.7447,0.4756,6.8085,0.148,5
24.0,0.5037,8.0417,0.1711,4
22.0638,0.5185,7.5745,0.1647,3
24.3617,0.4958,5.7872,0.1258,4
19.85,0.5072,6.25,0.1603,3
20.825,0.496,6.6,0.1692,4
19.2273,0.5393,10.9091,0.2537,4
22.4082,0.5298,13.102,0.273,4
21.7292,0.5316,13.0,0.2766,3
22.617,0.5161,11.234,0.2442,4
20.7955,0.5219,11.0909,0.2579,4
17.439,0.5467,11.5122,0.2878,4
17.359,0.5326,6.3077,0.166,3
20.8696,0.5267,6.6087,0.1469,3
21.5435,0.5199,6.7391,0.1498,4
22.1522,0.5157,8.8261,0.1961,4
20.0435,0.5386,11.1739,0.2483,3
22.5333,0.5028,7.0222,0.1596,3
22.1087,0.5134,6.7826,0.1507,3
20.75,0.4692,4.3889,0.1254,4
20.2,0.4692,4.8,0.1412,4
23.0,0.4993,5.9556,0.1354,4
19.75,0.5308,10.9091,0.2537,3
24.8723,0.4958,11.4043,0.2479,5
22.5532,0.5159,10.6383,0.2313,4
28.0408,0.4728,6.2857,0.131,4
15.9063,0.5046,4.375,0.1411,4
14.1786,0.4993,4.4286,0.164,4
22.3404,0.5149,5.234,0.1138,3
22.0,0.5092,5.6444,0.1283,3
21.7556,0.5133,8.8889,0.202,4
24.1489,0.4989,8.0426,0.1748,4
20.413,0.5324,6.913,0.1536,3
17.175,0.5406,8.3,0.2128,3
18.7143,0.5331,8.9524,0.2184,3
17.8095,0.545,10.7143,0.2613,3
23.4167,0.5135,11.375,0.242,4
21.9575,0.5247,12.3404,0.2683,4
24.1489,0.5022,10.2979,0.2239,5
22.6739,0.5114,10.9565,0.2435,4
22.1875,0.5264,11.625,0.2473,4
23.3673,0.5185,10.898,0.227,4
17.4722,0.5107,4.7778,0.1365,4
17.1111,0.5159,4.6111,0.1317,3
22.7292,0.5178,7.5833,0.1613,4
21.1489,0.5312,10.2128,0.222,3
23.4255,0.5054,5.7021,0.124,3
18.0,0.5109,5.6757,0.1577,3
17.6571,0.5015,4.8,0.1412,4
16.0833,0.5299,5.2778,0.1508,3
23.6304,0.4968,8.1739,0.1816,4
25.5306,0.4987,10.9388,0.2279,5
21.6522,0.5206,11.6957,0.2599,4
26.0408,0.4927,9.9184,0.2066,5
22.65,0.4744,4.6,0.1179,4
15.0384,0.4661,4.1538,0.1662,4
16.5455,0.5011,4.303,0.1345,4
28.4167,0.4624,4.9583,0.1055,4
24.5625,0.4984,6.5,0.1383,4
22.0444,0.5101,8.7111,0.198,4
21.0435,0.5261,8.6957,0.1932,4
22.7083,0.5177,7.8333,0.1667,4
24.4043,0.4949,6.8085,0.148,4
24.1364,0.4815,7.4091,0.1723,4
24.8043,0.4887,8.3478,0.1855,4
22.0652,0.5188,11.3043,0.2512,4
26.4082,0.4926,11.2245,0.2338,5
22.9149,0.5132,9.6596,0.21,4
22.625,0.5239,12.2917,0.2615,4
20.3617,0.5431,12.8085,0.2784,4
20.3044,0.5376,11.7826,0.2618,4
20.1628,0.5212,8.7442,0.2082,4
10.8077,0.5452,3.3846,0.1354,2
21.6591,0.5072,4.8636,0.1131,4
21.5778,0.5135,5.6444,0.1283,4
21.2128,0.5273,5.1915,0.1129,3
15.2581,0.508,4.0,0.1333,4
18.3429,0.4916,3.7143,0.1092,4
21.6047,0.5018,4.3256,0.103,4
19.5581,0.5249,5.4419,0.1296,3
23.1915,0.5104,9.7872,0.2128,4
23.0625,0.518,11.25,0.2394,4
24.8542,0.4976,10.4583,0.2225,4
22.0,0.5155,9.5217,0.2116,3
22.6905,0.486,5.0952,0.1243,4
12.8276,0.5332,4.9655,0.1773,4
20.0556,0.4762,4.2778,0.1222,4
25.1277,0.4878,5.9574,0.1295,4
24.5532,0.4923,8.0851,0.1758,4
26.3111,0.4676,7.2889,0.1657,5
22.4773,0.5008,7.7727,0.1808,4
24.75,0.4966,6.6667,0.1418,4
23.7778,0.4936,8.2667,0.1879,4
25.2174,0.4838,7.9565,0.1768,5
22.3043,0.5135,9.6957,0.2155,4
23.4255,0.5091,11.2766,0.2451,4
21.1667,0.5354,11.625,0.2473,4
