Avg_Betweenness,Avg_Closeness,Avg_Degree,Density,Diameter
8854.3945,0.2038,8.5744,0.0019,10
8966.0412,0.2023,9.2173,0.0021,10
10476.5264,0.1789,9.0309,0.002,13
9748.3884,0.1901,9.948,0.0022,12
8710.1904,0.2075,9.6519,0.0022,11
8183.595,0.217,8.7357,0.002,9
8574.1684,0.2099,8.7496,0.002,9
7864.0876,0.2237,9.5224,0.0021,9
7489.1799,0.232,10.0497,0.0023,8
9336.5354,0.1964,8.9019,0.002,12
9555.2728,0.1921,8.8011,0.002,10
8597.1694,0.2102,10.1806,0.0023,10
8450.2388,0.2117,9.7128,0.0022,9
7612.7675,0.229,7.3087,0.0016,8
8633.7222,0.2089,8.6828,0.0019,10
9210.7157,0.1991,8.328,0.0019,10
9932.7955,0.1877,8.1366,0.0018,12
9809.7531,0.1904,8.5717,0.0019,11
8611.6814,0.2096,8.6694,0.0019,11
7748.0909,0.2272,8.9409,0.002,10
7937.554,0.2229,8.7814,0.002,10
10108.9162,0.1839,8.2921,0.0019,11
9591.0847,0.1921,8.5081,0.0019,10
10520.9037,0.1778,8.2097,0.0018,11
9944.6485,0.1864,8.4906,0.0019,13
10410.4312,0.1798,8.1514,0.0018,12
10665.047,0.1766,8.0058,0.0018,12
8699.03,0.2072,8.2621,0.0019,8
8965.565,0.2018,8.0327,0.0018,9
8836.1628,0.204,8.629,0.0019,10
9009.5775,0.202,9.1254,0.002,11
9256.6438,0.1975,9.1922,0.0021,12
9372.4783,0.1959,9.2769,0.0021,12
8650.9292,0.2087,8.3423,0.0019,9
8434.7462,0.212,8.1461,0.0018,9
7874.2213,0.2236,9.0645,0.002,8
7638.7905,0.2285,9.4794,0.0021,8
7380.0273,0.235,9.5936,0.0021,8
10105.4258,0.1848,9.1985,0.0021,13
8868.6806,0.2042,9.6228,0.0022,10
9022.825,0.2018,9.8495,0.0022,10
7194.3454,0.2402,10.1438,0.0023,8
8314.5921,0.2147,8.1317,0.0018,9
9486.6727,0.1941,9.198,0.0021,11
10084.6189,0.1843,8.3522,0.0019,10
10043.5506,0.1855,8.828,0.002,11
8935.5815,0.2032,9.0121,0.002,8
8360.7305,0.2146,8.6873,0.0019,10
7756.0031,0.2265,8.97,0.002,8
8040.3696,0.2204,8.3871,0.0019,10
